Age (kyr),IRM@0.9 AF 120mT (A/m)
268.71,0.41878
268.98,0.39522
269.25,0.37592
269.52,0.3617
269.79,0.35189
270.05,0.34672
270.32,0.34478
270.59,0.34473
270.86,0.34544
271.21,0.34584
271.57,0.3448
271.93,0.34153
272.29,0.33569
272.64,0.32822
273.00,0.32043
273.36,0.3145
273.71,0.31038
274.07,0.30797
274.43,0.30752
274.79,0.30984
275.14,0.31551
275.50,0.32476
275.86,0.33628
276.17,0.34788
276.48,0.35786
276.79,0.36374
277.11,0.36465
277.42,0.36074
277.73,0.35352
278.04,0.34549
278.36,0.33716
278.67,0.3281
278.98,0.31771
279.29,0.30498
279.61,0.28942
279.92,0.26997
280.23,0.24947
280.54,0.23208
280.86,0.21862
281.21,0.20845
281.57,0.19961
281.93,0.18987
282.29,0.18004
282.64,0.17081
283.00,0.16428
283.36,0.16116
283.71,0.1621
284.07,0.16868
284.43,0.18247
284.79,0.20558
285.14,0.23605
285.50,0.27069
285.86,0.3027
286.21,0.32586
286.57,0.3374
286.93,0.34125
287.29,0.34239
287.64,0.34494
288.00,0.34972
288.31,0.35419
288.62,0.356
288.93,0.35549
289.24,0.35466
289.55,0.35537
289.86,0.35843
290.17,0.36323
290.47,0.36932
290.78,0.37541
291.09,0.3794
291.40,0.38009
291.71,0.37718
292.02,0.37204
292.33,0.3684
292.64,0.3693
292.95,0.37599
293.26,0.3864
293.57,0.39752
293.88,0.40774
294.19,0.4192
294.50,0.43306
294.81,0.44689
295.12,0.45589
295.42,0.45754
295.73,0.45176
296.04,0.4408
296.35,0.42592
296.66,0.40765
296.97,0.38666
297.28,0.36448
297.53,0.34539
297.78,0.33397
298.02,0.33109
298.27,0.33341
298.52,0.33797
298.77,0.34309
299.01,0.34801
299.26,0.35279
299.51,0.35665
299.76,0.35867
300.05,0.3575
300.34,0.35246
300.63,0.34492
300.92,0.33726
301.22,0.33239
301.51,0.33042
301.80,0.33079
302.09,0.33391
302.38,0.34047
302.68,0.34926
302.97,0.35707
303.26,0.3622
303.55,0.36431
303.85,0.36485
304.14,0.36279
304.43,0.35455
304.72,
305.01,
305.31,
305.60,
305.89,
306.18,
306.48,
306.77,0.34872
307.06,0.35448
307.35,0.35628
307.64,0.35409
307.94,0.34824
308.23,0.33972
308.52,0.33038
308.81,0.32188
309.10,0.31443
309.40,0.30764
309.69,0.30028
309.98,0.29225
310.27,0.28535
310.56,0.28188
310.84,0.28268
311.12,0.28754
311.41,0.29526
311.69,0.3058
311.97,0.31911
312.26,0.33488
312.54,0.35132
312.83,0.36794
313.11,0.38344
313.39,0.39759
313.68,0.40835
313.96,0.41545
314.24,0.41914
314.53,0.42128
314.81,0.4233
315.09,0.42636
315.38,0.42957
315.66,0.43113
315.94,0.42979
316.23,0.42658
316.51,0.42429
316.80,0.42483
317.08,0.42948
317.37,0.43906
317.66,0.45205
317.95,0.46616
318.24,0.47953
318.53,0.49125
318.82,0.50271
319.11,0.51327
319.40,0.52356
319.69,0.53152
319.98,0.53359
320.27,0.52642
320.56,0.50658
320.85,0.47325
321.14,0.42961
321.43,0.38853
321.72,0.35909
322.01,0.34293
322.30,0.33762
322.59,0.33752
322.88,0.33772
323.17,0.33455
323.46,0.3256
323.75,0.31161
324.04,0.29636
324.33,0.28137
324.62,0.2671
324.91,0.25115
325.20,0.23662
325.49,0.22686
325.78,0.22231
326.07,0.22181
326.36,0.22093
326.57,0.21474
326.77,0.20067
326.98,0.18156
327.18,0.16281
327.39,0.14662
327.60,0.13457
327.91,0.12584
328.22,0.11911
328.53,0.11341
328.83,0.10744
329.14,0.10139
329.45,0.094845
329.76,0.087784
330.07,0.080799
330.38,0.074995
330.69,0.072331
331.00,0.074081
331.18,0.080616
331.36,0.091262
331.54,0.10456
331.72,0.11937
331.90,0.13363
332.09,0.14793
332.27,0.16381
332.42,0.18086
332.58,0.19917
332.74,0.21644
332.90,0.23184
333.06,0.24391
333.22,0.25191
333.37,0.25647
333.53,0.25862
333.69,0.25981
333.85,0.2611
334.01,0.2628
334.16,0.26481
334.32,0.2674
334.48,0.27154
334.64,0.27767
334.80,0.28581
334.96,0.29415
335.11,0.30271
335.27,0.31057
335.43,0.31791
335.59,0.32316
335.75,0.32653
335.91,0.32917
336.06,0.33372
336.22,0.34377
336.38,0.36052
336.54,0.38122
336.70,0.40411
336.86,0.42578
337.01,0.44584
337.17,0.46057
337.33,0.46662
337.50,0.46146
337.68,0.4452
337.85,0.42203
338.03,0.40014
338.20,0.3822
338.38,0.36966
338.55,0.36164
338.73,0.35593
338.90,0.3523
339.08,0.3508
339.25,0.35091
339.43,0.35108
339.60,0.34859
339.78,
339.95,
340.13,
340.30,
340.47,
340.65,
340.82,
341.00,
341.17,
341.35,
341.52,
341.70,
341.87,0.39638
342.05,0.4157
342.22,0.43083
342.40,0.44357
342.57,0.45581
342.75,0.46841
342.92,0.479
343.10,0.4838
343.27,0.48073
343.45,0.47191
343.62,0.46273
343.79,0.45537
343.97,0.44848
344.14,0.44059
344.32,0.43086
344.49,0.42072
344.67,0.41238
344.84,0.40833
345.02,0.40929
345.19,0.41485
345.37,0.42379
345.54,0.43698
345.72,0.45435
345.89,0.47318
346.07,0.49
346.24,0.49917
346.42,0.50098
346.59,0.49814
346.76,0.49116
346.94,0.47993
347.11,0.46621
347.29,0.45489
347.46,0.44958
347.64,0.44995
347.81,0.45344
347.99,0.45806
348.26,0.46191
348.55,0.46339
348.83,0.46241
349.11,0.46061
349.39,0.4598
349.68,0.46012
349.96,0.46158
350.24,0.46344
350.53,0.4646
350.81,0.4638
351.09,0.46047
351.37,0.45536
351.66,0.4504
351.94,0.44791
352.22,0.44881
352.51,0.45251
352.79,0.45675
353.07,0.45936
353.35,0.45853
353.64,0.45366
353.92,0.44531
354.20,0.43429
354.49,0.42224
354.77,0.41079
355.05,0.39993
355.33,0.39
355.62,0.38037
355.90,0.37153
356.18,0.36523
356.47,0.36364
356.75,0.36699
357.03,0.37334
357.32,0.37939
